"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/account/me/images","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","622","0.0622"
"/account/{username}","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","302","0.030199999"
"/account/me/block","Yes","1","1.1925248","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","248","0.024799999"
"/account/me/images","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","360","0.036"
"/account/{username}/submissions/{page}","Yes","1","1.5710492","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","667","0.0667"
"/account/{username}/available_avatars","Yes","1","1.386722","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","379","0.0379"
"/account/{username}/avatar","Yes","1","1.386722","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","406","0.040599998"
"/account/me/settings","Yes","1","1.3327687","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","221","0.0221"
"/account/{username}/settings","Yes","1","1.5551791","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","308","0.0308"
"/account/{username}/settings","Yes","1","1.5551791","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","346","0.0346"
"/account/{username}/verifyemail","Yes","1","1.4023778","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","314","0.0314"
"/account/{username}/verifyemail","Yes","1","1.4023778","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","398","0.0398"
"/account/{username}/albums/{page}","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","325","0.0325"
"/account/{username}/albums/ids/{page}","Yes","1","1.735297","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","416","0.0416"
"/account/{username}/albums/count","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","377","0.037699997"
"/account/{username}/comments/{commentSort}/{page}","Yes","1","1.7525868","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","499","0.0499"
"/account/{username}/comments/ids/{sort}/{page}","Yes","1","1.5320009","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","442","0.0442"
"/account/{username}/comments/count","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","253","0.0253"
"/account/{username}/images/{page}","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","334","0.0334"
"/account/{username}/images/ids/{page}","Yes","1","1.735297","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","318","0.031799998"
"/account/{username}/images/count","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","233","0.0233"
"/account/{username}/notifications/replies","No","No","0.0","N/A","N/A","0.029299999"
"/account/me/follow/tag/{tagName}","Yes","1","1.6370316","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","266","0.0266"
"/image/{imageHash}","Yes","1","1.5565557","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","324","0.0324"
"/image/{imageHash}/favorite","Yes","1","1.6674168","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","280","0.027999999"
