"Uri","Cohesive?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
" /v3/{agreementId}/production/electricity/graph ","No","N/A","-3.0"," Get electricity production historical data.","110","0.011"
" /v3/{agreementId}/devices/{deviceid}/data ","No","N/A","-3.0"," Can be used to retrieve the historical data for a connected device. The device id can contain special characters that must be URL encoded.","227","0.022699999"
" /v3/{agreementId}/devices/{deviceid}/flows ","No","N/A","-3.0"," Can be used to retrieve the current data for a connected device. The device id can contain special characters that must be URL encoded.","144","0.0144"
" /v3/{agreementId}/thermostat/states ","No","N/A","-3.0"," Returns the different temperature state (setting) for the display. The temperature programs define in what state the display will go at a certain time and the state then defines the temperature value to use.","167","0.0167"
" /v3/{agreementId}/consumption/electricity/flows ","No","N/A","-3.0"," Returns the electricity consumption for a given time period in 5 minute intervals. The data is given for the time period between the given from- and toTime parameters. The data will be returned in an array appended under the field hours.","247","0.024699999"
" /v3/agreements ","No","N/A","-3.0"," Returns the agreementID(s) that are associated with the utility customer. The agreementID is used in subsequent calls to access the data of one particular Toon.","85","0.0084999995"
" /v3/{agreementId}/consumption/gas/data ","No","N/A","-3.0"," Returns the gas consumption for a given time period. The data is given in the interval you specify and for the time period between the given from- and toTime parameters. If no parameters are specified, the default values will be used.","159","0.015899999"
" /v3/{agreementId}/production/electricity/delivery ","No","N/A","-3.0"," Get electricity production data with the delivery to the grid.","36","0.0036"
" /v3/{agreementId}/status ","No","N/A","-3.0"," Returns information about current power usage, gas usage, thermostat information and thermostat programs as well as connected devices.","300","0.03"
" /v3/{agreementId}/consumption/electricity/data ","No","N/A","-3.0"," Returns the electricity consumption for a given time period. The data is given in the interval you specify and for the time period between the given from- and toTime parameters. If no parameters are specified, the default values will be used.","112","0.0112"
" /v3/{agreementId}/webhooks/{applicationId} ","No","N/A","-3.0"," The operation allows an API client to unsubscribe a push event request","60","0.006"
" /v3/{agreementId}/thermostat ","No","N/A","-3.0"," Gets the current thermostat information","28","0.0028"
" /v3/{agreementId}/devices/{deviceid} ","No","N/A","-3.0"," You need to send the configuration of the specific device as body. This configuration can be copied directly from the result from the corresponding GET. The device id can contain special characters that must be URL encoded.","213","0.0213"
" /v3/{agreementId}/production/electricity/data ","No","N/A","-3.0"," Get electricity production historical data.","44","0.0044"
" /v3/{agreementId}/consumption/districtheat/data ","No","N/A","-3.0"," Returns the district heat consumption for a given time period. The data is given in the interval you specify and for the time period between the given from- and toTime parameters. If no parameters are specified, the default values will be used.","120","0.012"
" /v3/{agreementId}/production/electricity/flows ","No","N/A","-3.0"," Get electricity production flow data.","20","0.0019999999"
" /v3/{agreementId}/consumption/gas/flows ","No","N/A","-3.0"," Returns the gas consumption for a given time period in 5 minute intervals. The data is given for the time period between the given from- and to Time parameters. If no parameters are specified, the default value will be used, which is the last 24 hours.","156","0.0156"
" /v3/{agreementId}/webhooks ","No","N/A","-3.0"," The operation allows an API client to subscribe a push event request, which will permit to get the display status including all datasets via a push event whenever display sends an update to the backend API","88","0.0088"
" /v3/{agreementId}/thermostat/programs ","No","N/A","-3.0"," This method is currently not implemented.","21","0.0021"
" /v3/{agreementId}/devices ","No","N/A","-3.0"," Returns a list of all the connected devices and their configuration. These can be Smart Plugs, Philips Hues, etc.","45","0.0045"
