"Topic 0","version","resourcegroupname","manage","project","certificate","service","account","servername","enrollment","containerservice","storage","device","openshift","web","services"
"Topic 1","dbformariadb","accountname","firewall","metadatum","property","provisioningservice","openshiftmanagedcluster","upload","activity","azurefirewallname","blob","match","clear","containername","threat"
"Topic 2","list","possession","discover","latest","property","response","maximum","usual","usableput","provisioningservice","subscriptionput","generateverificationcode","id","team","availabilitygrouplistenername"
"Topic 3","sql","provider","firewallrule","valid","body","network","patch","virtualnetworkrule","enrollmentgroup","traffic","correspond","immutabilityperiodsincecreationinday","availabilitygrouplistenername","information","actiongroupname"
"Topic 4","cluster","blockchain","pool","policy","application","costmanagement","immutability","azure","suppression","migrate","provisioningservice","code","immutabilitypolicy","include","member"
"Topic 5","subscription","api","microsoft","provider","subscriptionid","resourcegroup","delete","update","create","resource","server","cluster","put","post","preview"
"Topic 6","operation","alert","instance","default","location","cache","record","iot","possession","state","support","workspace","resourceget","maximum","number"
"Topic 7","insight","key","verify","certificate","provisioningservicename","machine","require","cdn","certificateorder","suppression","trafficmanagerprofile","share","patchschedule","alert","issue"
"Topic 8","containername","scope","enrollmentgroup","visualstudio","accountname","alertname","http","slot","provision","tag","attribute","resourceurus","service","flow","versioncontroloption"
"Topic 9","record","migrate","virtualnetworkrule","sas","traffic","analytic","alertupdateactiontype","subscriptionget","advanced","sku","openshift","logprofile","action","endpointname","locationname"
"Topic 10","analysis","generate","rule","visual","associate","enrollment","insight","delivery","customdomain","cdn","entire","skus","reset","virtualnetworkrulename","syntactically"
